Simulated control sequence with PD control:
Sequence steps: [0, 10, -10, 5, -5] 
Kp = 0.7213012910520777
Kd = 0.39466422611731
Limitations of the gamma control: +/- 8
Optimization solver: Nelder-Mead
Cost function type: penalty
Time(s)	Roll(deg)	Error	Control_cmd	gamma_L	gamma_R	target
0.35250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.35500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.35750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.36000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.36250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.36500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.36750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.37000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.37250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.37500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.37750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.38000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.38250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.38500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.38750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.39000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.39250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.39500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.39750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.40000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.40250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.40500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.40750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.41000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.41250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.41500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.41750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.42000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.42250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.42500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.42750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.43000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.43250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.43500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.43750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.44000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.44250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.44500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.44750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.45000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.45250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.45500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.45750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.46000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.46250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.46500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.46750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.47000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.47250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.47500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.47750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.48000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.48250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.48500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.48750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.49000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.49250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.49500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.49750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.50000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.50250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.50500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.50750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.51000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.51250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.51500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.51750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.52000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.52250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.52500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.52750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.53000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.53250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.53500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.53750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.54000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.54250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.54500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.54750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.55000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.55250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.55500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.55750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.56000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.56250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.56500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.56750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.57000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.57250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.57500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.57750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.58000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.58250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.58500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.58750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.59000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.59250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.59500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.59750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.60000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.60250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.60500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.60750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.61000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.61250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.61500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.61750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.62000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.62250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.62500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.62750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.63000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.63250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.63500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.63750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.64000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.64250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.64500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.64750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.65000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.65250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.65500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.65750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.66000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.66250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.66500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.66750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.67000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.67250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.67500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.67750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.68000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.68250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.68500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.68750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.69000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.69250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.69500	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.69750	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.70000	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
0.70250	0.00000	0.00000	1.54348	39.22826	40.77174	0.00000
